idx,site,xseq_lb,xseq_ub,yseq_lb,yseq_ub
1,SOAP,292509.55,292653.55,4095308.139,4095452.139
2,SOAP,292509.55,292653.55,4095404.139,4095548.139
3,SOAP,292509.55,292653.55,4095500.139,4095644.139
4,SOAP,292509.55,292653.55,4095596.139,4095740.139
5,SOAP,292509.55,292653.55,4095692.139,4095836.139
6,SOAP,292509.55,292653.55,4095788.139,4095932.139
7,SOAP,292509.55,292653.55,4095884.139,4096028.139
8,SOAP,292509.55,292653.55,4095980.139,4096124.139
9,SOAP,292509.55,292653.55,4096076.139,4096220.139
10,SOAP,292509.55,292653.55,4096172.139,4096316.139
11,SOAP,292509.55,292653.55,4096268.139,4096412.139
12,SOAP,292509.55,292653.55,4096364.139,4096508.139
13,SOAP,292509.55,292653.55,4096460.139,4096604.139
14,SOAP,292509.55,292653.55,4096556.139,4096700.139
15,SOAP,292509.55,292653.55,4096652.139,4096796.139
16,SOAP,292509.55,292653.55,4096748.139,4096892.139
17,SOAP,292509.55,292653.55,4096844.139,4096988.139
18,SOAP,292509.55,292653.55,4096940.139,4097084.139
19,SOAP,292509.55,292653.55,4097036.139,4097180.139
20,SOAP,292509.55,292653.55,4097132.139,4097276.139
21,SOAP,292509.55,292653.55,4097228.139,4097372.139
22,SOAP,292509.55,292653.55,4097324.139,4097468.139
23,SOAP,292509.55,292653.55,4097420.139,4097564.139
24,SOAP,292509.55,292653.55,4097516.139,4097660.139
25,SOAP,292509.55,292653.55,4097612.139,4097756.139
26,SOAP,292509.55,292653.55,4097708.139,4097852.139
27,SOAP,292509.55,292653.55,4097804.139,4097948.139
28,SOAP,292509.55,292653.55,4097900.139,4098044.139
29,SOAP,292509.55,292653.55,4097996.139,4098140.139
30,SOAP,292509.55,292653.55,4098092.139,4098236.139
31,SOAP,292509.55,292653.55,4098188.139,4098332.139
32,SOAP,292509.55,292653.55,4098284.139,4098428.139
33,SOAP,292509.55,292653.55,4098380.139,4098524.139
34,SOAP,292509.55,292653.55,4098476.139,4098620.139
35,SOAP,292509.55,292653.55,4098572.139,4098716.139
36,SOAP,292509.55,292653.55,4098668.139,4098812.139
37,SOAP,292509.55,292653.55,4098764.139,4098908.139
38,SOAP,292509.55,292653.55,4098860.139,4099004.139
39,SOAP,292509.55,292653.55,4098956.139,4099100.139
40,SOAP,292509.55,292653.55,4099052.139,4099196.139
41,SOAP,292509.55,292653.55,4099148.139,4099292.139
42,SOAP,292509.55,292653.55,4099244.139,4099388.139
43,SOAP,292509.55,292653.55,4099340.139,4099484.139
44,SOAP,292509.55,292653.55,4099436.139,4099580.139
45,SOAP,292509.55,292653.55,4099532.139,4099676.139
46,SOAP,292509.55,292653.55,4099628.139,4099772.139
47,SOAP,292509.55,292653.55,4099724.139,4099868.139
48,SOAP,292509.55,292653.55,4099820.139,4099964.139
49,SOAP,292509.55,292653.55,4099916.139,4100060.139
50,SOAP,292509.55,292653.55,4100012.139,4100156.139
51,SOAP,292509.55,292653.55,4100108.139,4100252.139
52,SOAP,292509.55,292653.55,4100204.139,4100348.139
53,SOAP,292509.55,292653.55,4100300.139,4100444.139
54,SOAP,292509.55,292653.55,4100396.139,4100540.139
55,SOAP,292509.55,292653.55,4100492.139,4100636.139
56,SOAP,292509.55,292653.55,4100588.139,4100732.139
57,SOAP,292509.55,292653.55,4100684.139,4100828.139
58,SOAP,292509.55,292653.55,4100780.139,4100924.139
59,SOAP,292509.55,292653.55,4100876.139,4101020.139
60,SOAP,292509.55,292653.55,4100972.139,4101116.139
61,SOAP,292509.55,292653.55,4101068.139,4101212.139
62,SOAP,292509.55,292653.55,4101164.139,4101308.139
63,SOAP,292509.55,292653.55,4101260.139,4101404.139
64,SOAP,292509.55,292653.55,4101356.139,4101500.139
65,SOAP,292509.55,292653.55,4101452.139,4101596.139
66,SOAP,292509.55,292653.55,4101548.139,4101692.139
67,SOAP,292509.55,292653.55,4101644.139,4101788.139
68,SOAP,292509.55,292653.55,4101740.139,4101884.139
69,SOAP,292509.55,292653.55,4101836.139,4101980.139
70,SOAP,292509.55,292653.55,4101932.139,4102076.139
71,SOAP,292509.55,292653.55,4102028.139,4102172.139
72,SOAP,292509.55,292653.55,4102124.139,4102268.139
73,SOAP,292509.55,292653.55,4102220.139,4102364.139
74,SOAP,292509.55,292653.55,4102316.139,4102460.139
75,SOAP,292509.55,292653.55,4102412.139,4102556.139
76,SOAP,292509.55,292653.55,4102508.139,4102652.139
77,SOAP,292509.55,292653.55,4102604.139,4102748.139
78,SOAP,292509.55,292653.55,4102700.139,4102844.139
79,SOAP,292509.55,292653.55,4102796.139,4102940.139
80,SOAP,292509.55,292653.55,4102892.139,4103036.139
81,SOAP,292509.55,292653.55,4102988.139,4103132.139
82,SOAP,292509.55,292653.55,4103084.139,4103228.139
83,SOAP,292509.55,292653.55,4103180.139,4103324.139
84,SOAP,292509.55,292653.55,4103276.139,4103420.139
85,SOAP,292509.55,292653.55,4103372.139,4103516.139
86,SOAP,292509.55,292653.55,4103468.139,4103612.139
87,SOAP,292509.55,292653.55,4103564.139,4103708.139
88,SOAP,292509.55,292653.55,4103660.139,4103804.139
89,SOAP,292509.55,292653.55,4103756.139,4103900.139
90,SOAP,292509.55,292653.55,4103852.139,4103996.139
91,SOAP,292509.55,292653.55,4103948.139,4104092.139
92,SOAP,292509.55,292653.55,4104044.139,4104188.139
93,SOAP,292509.55,292653.55,4104140.139,4104284.139
94,SOAP,292509.55,292653.55,4104236.139,4104380.139
95,SOAP,292509.55,292653.55,4104332.139,4104476.139
96,SOAP,292509.55,292653.55,4104428.139,4104572.139
97,SOAP,292509.55,292653.55,4104524.139,4104668.139
98,SOAP,292509.55,292653.55,4104620.139,4104764.139
99,SOAP,292509.55,292653.55,4104716.139,4104860.139
100,SOAP,292509.55,292653.55,4104812.139,4104956.139
101,SOAP,292509.55,292653.55,4104908.139,4105052.139
102,SOAP,292509.55,292653.55,4105004.139,4105148.139
103,SOAP,292509.55,292653.55,4105100.139,4105244.139
104,SOAP,292509.55,292653.55,4105196.139,4105340.139
105,SOAP,292509.55,292653.55,4105292.139,4105436.139
106,SOAP,292509.55,292653.55,4105388.139,4105532.139
107,SOAP,292509.55,292653.55,4105484.139,4105628.139
108,SOAP,292509.55,292653.55,4105580.139,4105724.139
109,SOAP,292509.55,292653.55,4105676.139,4105820.139
110,SOAP,292509.55,292653.55,4105772.139,4105916.139
111,SOAP,292509.55,292653.55,4105868.139,4106012.139
112,SOAP,292509.55,292653.55,4105964.139,4106108.139
113,SOAP,292509.55,292653.55,4106060.139,4106204.139
114,SOAP,292509.55,292653.55,4106156.139,4106300.139
115,SOAP,292509.55,292653.55,4106252.139,4106396.139
116,SOAP,292509.55,292653.55,4106348.139,4106492.139
117,SOAP,292509.55,292653.55,4106444.139,4106588.139
118,SOAP,292509.55,292653.55,4106540.139,4106684.139
119,SOAP,292509.55,292653.55,4106636.139,4106780.139
120,SOAP,292509.55,292653.55,4106732.139,4106876.139
121,SOAP,292509.55,292653.55,4106828.139,4106972.139
122,SOAP,292509.55,292653.55,4106924.139,4107068.139
123,SOAP,292509.55,292653.55,4107020.139,4107164.139
124,SOAP,292509.55,292653.55,4107116.139,4107260.139
125,SOAP,292509.55,292653.55,4107212.139,4107356.139
126,SOAP,292509.55,292653.55,4107308.139,4107452.139
127,SOAP,292509.55,292653.55,4107404.139,4107548.139
128,SOAP,292509.55,292653.55,4107500.139,4107644.139
129,SOAP,292509.55,292653.55,4107596.139,4107740.139
130,SOAP,292509.55,292653.55,4107692.139,4107836.139
131,SOAP,292509.55,292653.55,4107788.139,4107932.139
132,SOAP,292509.55,292653.55,4107884.139,4108028.139
133,SOAP,292509.55,292653.55,4107980.139,4108124.139
134,SOAP,292509.55,292653.55,4108076.139,4108220.139
135,SOAP,292509.55,292653.55,4108172.139,4108316.139
136,SOAP,292509.55,292653.55,4108268.139,4108412.139
137,SOAP,292509.55,292653.55,4108364.139,4108508.139
138,SOAP,292509.55,292653.55,4108460.139,4108604.139
139,SOAP,292509.55,292653.55,4108556.139,4108700.139
140,SOAP,292509.55,292653.55,4108652.139,4108796.139
141,SOAP,292509.55,292653.55,4108748.139,4108892.139
142,SOAP,292509.55,292653.55,4108844.139,4108988.139
143,SOAP,292509.55,292653.55,4108940.139,4109084.139
144,SOAP,292509.55,292653.55,4109036.139,4109180.139
145,SOAP,292509.55,292653.55,4109132.139,4109276.139
146,SOAP,292509.55,292653.55,4109228.139,4109372.139
147,SOAP,292605.55,292749.55,4095308.139,4095452.139
148,SOAP,292605.55,292749.55,4095404.139,4095548.139
149,SOAP,292605.55,292749.55,4095500.139,4095644.139
150,SOAP,292605.55,292749.55,4095596.139,4095740.139
151,SOAP,292605.55,292749.55,4095692.139,4095836.139
152,SOAP,292605.55,292749.55,4095788.139,4095932.139
153,SOAP,292605.55,292749.55,4095884.139,4096028.139
154,SOAP,292605.55,292749.55,4095980.139,4096124.139
155,SOAP,292605.55,292749.55,4096076.139,4096220.139
156,SOAP,292605.55,292749.55,4096172.139,4096316.139
157,SOAP,292605.55,292749.55,4096268.139,4096412.139
